91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
91 getNumberofCountries 8 82846 (turnaround time: 1599 ms, execution time: 1414 ms, waiting time: 3 ms, processed by Server 1)
